x	y	v_x	v_y	radius	mass	count	energy
0.33871708829582003	0.22955119860223744	-0.4509016685656058	0.13450287126871777	0.01	0.01	5.0	0.0011070166854738833	
0.8176353746356713	0.045578495067983726	0.0	0.0	0.01	0.01	0.0	0.0	
0.4480910329110595	0.13680378710938726	-0.23864969922698337	-2.1365803381879727	0.01	0.01	23.0	0.02310964610236281	
0.13601059000900184	0.2218240484493499	0.0	0.0	0.01	0.01	0.0	0.0	
0.2776444556840565	0.43140616868433906	-0.4592453481774956	-0.337632640390068	0.01	0.01	4.0	0.0016245104483971907	
0.23835560620842067	0.24761426491433347	0.0	0.0	0.01	0.01	0.0	0.0	
0.7043989046817851	0.20960906518329936	0.0	0.0	0.01	0.01	0.0	0.0	
0.7207968660466648	0.3213435371211308	0.884930282833613	-0.28414586219540283	0.01	0.01	8.0	0.004319202382393737	
0.4087916217161876	0.23502841078724956	-1.205682236984035	-1.3281481010036056	0.01	0.01	67.0	0.016088235173891553	
0.29258780461765643	0.08783374904993979	0.0	0.0	0.01	0.01	0.0	0.0	
0.9139737190439843	0.1410394945349973	0.0	0.0	0.01	0.01	0.0	0.0	
0.05586895832230354	0.35518606318970547	0.0	0.0	0.01	0.01	0.0	0.0	
0.894020492285315	0.2428317618349013	0.0	0.0	0.01	0.01	0.0	0.0	
0.3162124592383901	0.42946849202189513	-0.1667604965802324	0.26548032361435125	0.01	0.01	23.0	0.0004914443272303319	
0.858512335160097	0.14915130369950558	0.0	0.0	0.01	0.01	0.0	0.0	
0.24518329552228976	0.44887387524939104	-0.2101237396190104	0.009774639589820786	0.01	0.01	1.0	0.00022123764765294283	
0.34478455006812647	0.34874674113263676	-0.7250336499086826	-0.13364722141277519	0.01	0.01	36.0	0.0027176768664563073	
0.9132369856385301	0.41364113449911055	0.0	0.0	0.01	0.01	0.0	0.0	
0.8395738580832413	0.4699008326534394	0.0	0.0	0.01	0.01	0.0	0.0	
0.20766068719407826	0.370212051404747	0.0	0.0	0.01	0.01	0.0	0.0	
0.4922042065207952	0.1112950654490406	0.5379634370106227	-1.9699730649756981	0.01	0.01	6.0	0.02085099268145014	
0.6546812353322451	0.3848096961628736	0.25596115749110493	0.033593951353087945	0.01	0.01	21.0	0.0003332233385584994	
0.5965689859123067	0.2429664373245112	1.0503336722322407	-1.0121591465215434	0.01	0.01	80.0	0.010638334804560412	
0.5415110454590384	0.17122174708016932	0.5153590100187766	-1.720094617577627	0.01	0.01	43.0	0.01612160201313528	
0.12707200035774568	0.10819099847497005	0.0	0.0	0.01	0.01	0.0	0.0	
0.06898898554121868	0.48910220700470197	0.0	0.0	0.01	0.01	0.0	0.0	
0.486653657697487	0.1305526558130857	-0.4309906311409263	-1.617461690127287	0.01	0.01	23.0	0.014009676215803369	
0.03840450371148019	0.3344454520900536	0.0	0.0	0.01	0.01	0.0	0.0	
0.7712109189567937	0.24339795883562276	0.0	0.0	0.01	0.01	0.0	0.0	
0.434997854077028	0.193241672124837	-0.7196153245015733	-1.7171029444153416	0.01	0.01	72.0	0.017331443684886705	
0.037488603557780165	0.2218693154914394	0.0	0.0	0.01	0.01	0.0	0.0	
0.29177642858363306	0.03042495060855588	0.0	0.0	0.01	0.01	0.0	0.0	
0.3252564114776702	0.41076230705664807	-0.7132906058611541	-0.06325411160242689	0.01	0.01	21.0	0.002563922855221923	
0.29787321933516586	0.19020703915397985	0.0	0.0	0.01	0.01	0.0	0.0	
0.9128407854061134	0.08249723273052068	0.0	0.0	0.01	0.01	0.0	0.0	
0.8671317769135956	0.341937328116396	0.0	0.0	0.01	0.01	0.0	0.0	
0.2443109296069761	0.14187072492264863	0.0	0.0	0.01	0.01	0.0	0.0	
0.5139170330721641	0.10219683158270043	0.0	0.0	0.01	0.01	0.0	0.0	
0.14974441905955937	0.28432008319294866	0.0	0.0	0.01	0.01	0.0	0.0	
0.8102037728672522	0.15024269145619085	0.0	0.0	0.01	0.01	0.0	0.0	
0.6886388726667814	0.45639788003827464	0.39267260655108915	0.2848292238573047	0.01	0.01	4.0	0.0011765973134939052	
0.27485565361967357	0.04743316791850338	0.0	0.0	0.01	0.01	0.0	0.0	
0.6414632472666646	0.20769521182496586	1.4057630208966192	-0.31113683603878456	0.01	0.01	24.0	0.010364879008303072	
0.7488101912174883	0.33520829429749366	0.0	0.0	0.01	0.01	0.0	0.0	
0.638087200321883	0.33038248472027826	0.7454129536407481	-0.7126643591735072	0.01	0.01	40.0	0.005317654801458048	
0.9865327512464352	0.10241362006910648	0.0	0.0	0.01	0.01	0.0	0.0	
0.4786974705605472	0.1678302934584249	0.28632320587795246	-1.840354554242066	0.01	0.01	73.0	0.017344429317718714	
0.02157914562565777	0.08913409359751501	0.0	0.0	0.01	0.01	0.0	0.0	
0.9538708770170992	0.13663768569141865	0.0	0.0	0.01	0.01	0.0	0.0	
0.1570596419853474	0.33200388491935817	0.0	0.0	0.01	0.01	0.0	0.0	
0.7247450211416687	0.34648567035329464	0.2633527898011902	0.2328602855583495	0.01	0.01	2.0	0.0006178930224319297	
0.7023641194293246	0.08272847081719104	0.0	0.0	0.01	0.01	0.0	0.0	
0.9672763495093262	0.019619321070258433	0.0	0.0	0.01	0.01	0.0	0.0	
0.2572454004896545	0.42755957144545725	-0.44647432873711	0.3639785716354167	0.01	0.01	2.0	0.0016590986341550556	
0.10648904285808647	0.2012644492650787	0.0	0.0	0.01	0.01	0.0	0.0	
0.8098958683538147	0.4027398372434692	0.0	0.0	0.01	0.01	0.0	0.0	
0.04425952342598083	0.0653478116071401	0.0	0.0	0.01	0.01	0.0	0.0	
0.8902000047347598	0.049513866018695785	0.0	0.0	0.01	0.01	0.0	0.0	
0.8145734505492477	0.470865045054794	0.0	0.0	0.01	0.01	0.0	0.0	
0.9445781624549481	0.48883176067033707	0.0	0.0	0.01	0.01	0.0	0.0	
0.4644711796237533	0.05040243737683747	0.0	0.0	0.01	0.01	0.0	0.0	
0.5216632184560416	0.1756985742332568	-0.1027044721200858	-2.6372444996589577	0.01	0.01	52.0	0.034828033797874455	
0.9720197975526885	0.47537266117532906	0.0	0.0	0.01	0.01	0.0	0.0	
